Title,New Chapter,Date,Website
Sumire 16-sai!!,Vol. 2 Ch. 14 - Cupid of Love,2024-12-28,MangaDex
"Apparently, I'm the Villainess?",Vol. 1 Ch. 15,2024-12-28,MangaDex
"Apparently, I'm the Villainess?",Vol. 1 Ch. 14,2024-12-28,MangaDex
HUNTER x HUNTER (Official Colored),Vol. 4 Ch. 32 - O Exame Final É…?,2024-12-28,MangaDex
Sasha-chan to Classmate Otaku-kun,Vol. 2 Ch. 22.75 - Let’s Go to My Master’s House! (Part 2),2024-12-28,MangaDex
Uso Kareshi Demo Ii Kara Tonikaku Shitai Mashiro-chan,Ch. 5,2024-12-28,MangaDex
Uso Kareshi Demo Ii Kara Tonikaku Shitai Mashiro-chan,Ch. 4,2024-12-28,MangaDex
